2023-03-16 21:04:08.695 | 2 | INFO | AccionesBBVA | Microsoft.Hosting.Lifetime | Waiting for the host to be disposed. Ensure all 'IHost' instances are wrapped in 'using' blocks.
2023-03-16 21:04:26.041 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-16 21:04:26.116 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-16 21:04:26.118 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-16 21:04:29.878 | 1 | INFO | AccionesBBVA | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2023-03-16 21:04:29.885 | 1 | INFO | AccionesBBVA | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2023-03-16 21:04:29.902 | 2 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStop()
2023-03-16 21:04:36.467 | 2 | INFO | AccionesBBVA | Microsoft.Hosting.Lifetime | Waiting for the host to be disposed. Ensure all 'IHost' instances are wrapped in 'using' blocks.
2023-03-16 21:08:06.346 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-16 21:08:06.683 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-16 21:08:06.694 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-16 21:08:09.765 | 1 | INFO | AccionesBBVA | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2023-03-16 21:08:09.772 | 1 | INFO | AccionesBBVA | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2023-03-16 21:08:09.792 | 2 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStop()
2023-03-16 21:08:16.392 | 2 | INFO | AccionesBBVA | Microsoft.Hosting.Lifetime | Waiting for the host to be disposed. Ensure all 'IHost' instances are wrapped in 'using' blocks.
2023-03-16 21:08:39.876 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-16 21:08:39.951 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-16 21:08:39.954 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-16 21:08:42.565 | 1 | INFO | AccionesBBVA | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2023-03-16 21:08:42.571 | 1 | INFO | AccionesBBVA | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2023-03-16 21:08:42.590 | 2 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStop()
2023-03-16 21:09:43.596 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-16 21:09:43.693 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-16 21:09:43.695 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-16 21:09:46.939 | 1 | INFO | AccionesBBVA | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2023-03-16 21:09:46.945 | 1 | INFO | AccionesBBVA | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2023-03-16 21:09:46.965 | 2 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStop()
