2023-03-20 14:09:24.821 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 14:09:24.824 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 14:09:27.478 | 1 | INFO | AccionesBBVA | AccionesBBVA.Worker | Worker running at: "2023-03-20T14:09:27.4706193-03:00"
2023-03-20 14:09:27.488 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2023-03-20 14:10:36.596 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 14:10:36.735 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 14:10:36.738 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 14:10:39.860 | 1 | INFO | AccionesBBVA | AccionesBBVA.Worker | Worker running at: "2023-03-20T14:10:39.8487173-03:00"
2023-03-20 14:10:39.886 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2023-03-20 14:22:42.385 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 14:22:42.511 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 14:22:42.514 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 14:58:35.653 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 14:58:35.815 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 14:58:35.818 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 14:59:18.199 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 14:59:18.312 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 14:59:18.339 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 17:07:10.509 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 17:07:10.644 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 17:07:10.646 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 17:23:48.438 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 17:23:48.716 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 17:23:48.719 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 17:41:47.211 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 17:41:47.325 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 17:41:47.327 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 17:42:06.293 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-20 17:42:06.433 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-20 17:42:06.436 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-20 17:57:14.823 | 1 | INFO | AccionesBBVA | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
